Jméno rubriky,Název článku/videa,Views,Dokoukanost do 25 %,Dokoukanost do 50 %,Dokoukanost do 75 %,Dokoukanost do 100 %
Zdraví,V jednatřiceti dostal mrtvici, přestože žil zdravě a sportoval. Dnes mladý lékař bojuje za návrat na porodní sál,44473,81,93285814,67,18008679,54,45551233,46,99705439
Krimi,Sebevrah v centru Plzně skočil z mostu do řeky. Na místě zemřel,41199,84,51175999,70,63763684,58,85337023,58,85337023
Počasí,Čekají nás příjemné letní dny,40363,2,504769219,1,045511979,0,525233506,0,374104997
Plzeňský kraj,Dvě buchty vs. bagry. Kavárna na rozkopaném plzeňském náměstíčku bojuje o přežití,40322,81,37245176,74,54491345,68,18610188,62,29105699
Krimi,Obětí vraždy v Ratenicích se stala 78letá žena, podezřelý je cizinec,39852,75,89330523,63,13108501,42,95392954,36,58285657
Počasí,Ráno mrzlo a padaly rekordy,38925,0,005138086,0,0,0
Počasí,Česko čeká chladný víkend,38620,3,609528742,1,175556706,0,592957017,0,422061108
Válka na Ukrajině,To je zase ráno, sakra. Obyvatele ruského přístavu vytočil další útok dronů,37840,91,15750529,83,78171247,82,41014799,77,59513742
Plzeňský kraj,Ráj vepřů a ruiny kolem. Památný dvůr pod Zelenou Horou ale už vstává z popela,37533,85,16771907,79,09040045,73,38342259,66,07518717
Koktejl,Muž zůstal dva dny uvězněný za vodopádem v Kalifornii,37354,66,12143278,57,41553783,48,35626707,37,85404508
Krimi,Policie u hlavního nádraží v Praze objevila mrtvolu,36835,73,6853536,73,25098412,60,71670965,60,71399484
Krimi,Sok se střelenými hýžděmi, hrozby zabitím. Řádění muže mezi paneláky v Praze utnula policie,35838,84,75361348,76,5667727,69,06914448,62,09888945
Zbytečná válka,Bylo úděsné, jak protagonisté popírali skutečnost, říká tlumočnice z Velkého vlasteneckého výletu,35495,23,54134385,11,67770108,8,096915058,4,22031272
Krimi,Nákladní vůz s bagrem zavadil u Třebíze o pilíř mostu, spadla z něj traverza na projíždějící auto,33853,87,86813576,76,6342717,65,00457862,65,00162467
Koktejl,Chromá ovečka dostala elektrický vozík, řídí jej sama,33141,81,9106243,69,13490842,53,77025437,44,28955071
Krimi,Fotbalista Petrouš, který podvodně nabízel luxusní pražské byty, dluží miliony a nesplácí,32595,74,98389324,60,79766835,51,78401595,42,66605308
Cestování,Automobilový les začal jedním převráceným vozem. Dnes je vyhledávanou turistickou atrakcí,32176,67,24266534,52,53915962,41,66148682,39,4579811
Krimi,Tragická nehoda zastavila vlaky mezi Prahou a Plzní,31973,65,56156757,43,70249898,36,09295343,29,9471429
Krimi,Nadávky a hlasitá hudba. Vlastenecké setkání na Příbramsku provázely konflikty s odpůrci,30722,85,10513638,79,28845778,73,44899421,69,06776903
Krimi,Cyklista u Prahy nepřežil srážku s autem,30173,80,49249329,64,08709774,63,46402413,61,38600736
Zahraniční,Dobýt území Krymu či Donbasu nikdy nebylo naším cílem, dušuje se Lavrov,30036,91,54681049,85,33093621,78,06964975,71,16793182
Lifestyle,Extrémní kousek motokrosaře na německé dálnici. Z jedoucího kamionu přeskočil na druhý,29189,85,336942,78,23495152,73,7914968,68,57720374
Evropa,Ruský šáhid, který vybuchl v Polsku, přiletěl z Běloruska,29083,72,28277688,56,54849912,43,71282192,31,88116769
Zahraniční,V moskevském ikonickém obchodním domě Dětskij mir došlo k výbuchu,27742,83,98457213,83,29608536,72,45692452,72,40645952
Film,Aneta Krejčíková a Igor Orozovič jako městská holka a horský záchranář. Film Na horách se představuje,27030,85,61228265,75,56418794,64,87976323,48,03921569
Film,Chci žraloky ukázat v reálném světle, říká režisér Nebezpečných zvířat. Ve filmu jim předhazuje omámené turisty,25864,81,63857099,70,49566966,60,60160841,44,39761831
Krimi,„Někdo je upálil zaživa,“ oplakává majitelka feny, které uhořely na Karlovarsku,24390,90,52480525,83,64493645,83,01353014,78,96268963
Koktejl,Největší simultánní demolice chladících věží v historii, k zemi jich šlo naráz osm,24174,89,82377761,71,48175726,54,49656656,40,97791015
Krimi,Zoufalý výtržník s nožem skončil v psychiatrické léčebně. Záznam zadržení je nejlepším policejním videem,23497,92,33093586,69,78763246,56,47103886,31,37847385
Zbytečná válka,Když obhajovali znásilňování dětí, nemohl jsem být neutrální, říká člen štábu Velkého vlasteneckého výletu,22896,25,59835779,10,04105521,6,752271139,3,935185185
Krimi,Pouliční kamera zachytila pokus uplatit úřednici na Ústecku,21528,91,65737644,91,15105909,85,14028242,4,05982906
Zahraniční,Někdo u toho velmi chce být. Trump láká Putina na mistrovství světa ve fotbale,20881,89,22465399,87,88851109,82,82170394,82,80733681
Počasí,Přes tisíc obětí veder ve Španělsku. Stromy a klimatizace mohou rozhodovat o životě,20515,83,69485742,76,29539361,69,12015598,61,55983427
Válka na Ukrajině,Ukrajinci udeřili na ropovod Družba v ruské Brjanské oblasti,19951,56,87935442,29,47220691,18,36499424,11,3778758
Koktejl,Ve Švédsku přesouvají 113 let starý kostel, pět kilometrů urazí za dva dny,19625,1,156687898,0,626751592,0,407643312,0,270063694
Lifestyle,Ve wingsuitu se vznášel jen pár metrů nad Stolovou horou. Nejde o extrémní sport, tvrdí,19528,92,04731667,88,22204015,78,73822204,66,90905367
Řetězák,Neexistující armáda voličů. Strašení korespondenční volbou hrubě nevyšlo,19374,45,34943739,22,39083308,13,54392485,8,263652318
Věda a školy,V Indonésii objevili lidmi vytvořené kamenné nástroje staré až 1,5 milionu let,19305,79,91193991,72,02279202,58,54441854,53,13649314
Hry a herní systémy,Gamescom 2025: Policejní auto z GTA VI se prodalo v aukci za 325 000 Kč,18710,44,0566542,27,92624265,19,85034741,12,42650989
Film,Zemřel herec Terence Stamp,18707,60,78473299,41,99497514,30,0261934,24,06051211
