Column1
Jméno rubriky,Název článku/videa,Views,Dokoukanost do 25 %,Dokoukanost do 50 %,Dokoukanost do 75 %,Dokoukanost do 100 %
Krimi,Sebevrah v centru Plzně skočil z mostu do řeky. Na místě zemřel,41199,84.51175999417461,70.63763683584553,58.8533702274327,58.8533702274327
Počasí,Čekají nás příjemné letní dny,40363,2.504769219334539,1.045511978792458,0.5252335059336521,0.374104997150856
Plzeňský kraj,Dvě buchty vs. bagry. Kavárna na rozkopaném plzeňském náměstíčku bojuje o přežití,40322,81.37245176330539,74.54491344675364,68.18610187986707,62.29105699122067
Krimi,Obětí vraždy v Ratenicích se stala 78letá žena, podezřelý je cizinec,39852,75.89330522934858,63.13108501455385,42.95392953929539,36.58285656930643
Počasí,Ráno mrzlo a padaly rekordy,38925,0.005138086062941555,0.0,0.0,0.0
Počasí,Česko čeká chladný víkend,38620,3.609528741584672,1.175556706369757,0.5929570170895909,0.4220611082340756
Válka na Ukrajině,To je zase ráno, sakra. Obyvatele ruského přístavu vytočil další útok dronů,37840,91.15750528541227,83.78171247357294,82.41014799154334,77.59513742071881
Plzeňský kraj,Ráj vepřů a ruiny kolem. Památný dvůr pod Zelenou Horou ale už vstává z popela,37533,85.16771907388166,79.0904004476061,73.38342258812244,66.07518716862494
Koktejl,Muž zůstal dva dny uvězněný za vodopádem v Kalifornii,37354,66.12143277828345,57.41553782727419,48.35626706644536,37.85404508218665
Krimi,Policie u hlavního nádraží v Praze objevila mrtvolu,36835,73.68535360390932,73.25098411836568,60.71670965114701,60.71399484186236
Krimi,Sok se střelenými hýžděmi, hrozby zabitím. Řádění muže mezi paneláky v Praze utnula policie,35838,84.75361348289525,76.5667726993694,69.06914448350912,62.09888944695574
Zbytečná válka,Bylo úděsné, jak protagonisté popírali skutečnost, říká tlumočnice z Velkého vlasteneckého výletu,35495,23.54134385124665,11.67770108465981,8.096915058458938,4.220312720101423
Krimi,Nákladní vůz s bagrem zavadil u Třebíze o pilíř mostu, spadla z něj traverza na projíždějící auto,33853,87.86813576344785,76.63427170413257,65.00457861932473,65.00162467137329
Koktejl,Chromá ovečka dostala elektrický vozík, řídí jej sama,33141,81.91062430222384,69.13490842159258,53.77025436770164,44.28955070758276
Krimi,Fotbalista Petrouš, který podvodně nabízel luxusní pražské byty, dluží miliony a nesplácí,32595,74.98389323515877,60.79766835404203,51.78401595336708,42.66605307562509
Cestování,Automobilový les začal jedním převráceným vozem. Dnes je vyhledávanou turistickou atrakcí,32176,67.24266534062654,52.53915962207857,41.66148682247638,39.45798110392839
Krimi,Tragická nehoda zastavila vlaky mezi Prahou a Plzní,31973,65.56156757263942,43.70249898351734,36.0929534294561,29.94714290182342
Krimi,Nadávky a hlasitá hudba. Vlastenecké setkání na Příbramsku provázely konflikty s odpůrci,30722,85.10513638434998,79.28845778269644,73.44899420610638,69.06776902545407
Krimi,Cyklista u Prahy nepřežil srážku s autem,30173,80.49249328870182,64.08709773638684,63.46402412753124,61.38600735757134
Zahraniční,Dobýt území Krymu či Donbasu nikdy nebylo naším cílem, dušuje se Lavrov,30036,91.54681049407378,85.33093620988149,78.06964975362898,71.16793181515516
Lifestyle,Extrémní kousek motokrosaře na německé dálnici. Z jedoucího kamionu přeskočil na druhý,29189,85.33694199869814,78.23495152283394,73.7914967967385,68.57720374113536
Evropa,Ruský šáhid, který vybuchl v Polsku, přiletěl z Běloruska,29083,72.28277687996425,56.54849912319912,43.71282192346045,31.88116769246639
Zahraniční,V moskevském ikonickém obchodním domě Dětskij mir došlo k výbuchu,27742,83.98457212890203,83.29608535794102,72.45692451878018,72.40645951986157
Film,Aneta Krejčíková a Igor Orozovič jako městská holka a horský záchranář. Film Na horách se představuje,27030,85.61228264890862,75.56418793932667,64.87976322604514,48.03921568627451
Film,Chci žraloky ukázat v reálném světle, říká režisér Nebezpečných zvířat. Ve filmu jim předhazuje omámené turisty,25864,81.63857098669965,70.49566965666564,60.60160841323848,44.3976183111661
Krimi,„Někdo je upálil zaživa,“ oplakává majitelka feny, které uhořely na Karlovarsku,24390,90.52480524805247,83.6449364493645,83.01353013530135,78.96268962689626
Koktejl,Největší simultánní demolice chladících věží v historii, k zemi jich šlo naráz osm,24174,89.82377761231075,71.48175725986597,54.49656655911311,40.97791015140233
Krimi,Zoufalý výtržník s nožem skončil v psychiatrické léčebně. Záznam zadržení je nejlepším policejním videem,23497,92.33093586415288,69.78763246371878,56.47103885602417,31.37847384772524
