Jméno rubriky,Název článku/videa,Views,Extrahované info,Novinky URL
Amerika,Před 36 lety zavraždil s bratrem své rodiče. Soud Erikovi Menendezovi zamítl žádost o propuštění,11098,Reuters,https://www.novinky.cz/clanek/zahranicni-amerika-pred-36-lety-zavrazdil-s-bratrem-sve-rodice-soud-erikovi-menendezovi-zamitl-zadost-o-propusteni-40535446
Koktejl,Řidička v Číně prorazila na parkovišti u koupaliště živý plot a sjela i s dítětem do bazénu,9890,AP,https://www.novinky.cz/clanek/koktejl-ridicka-v-cine-prorazila-na-parkovisti-u-koupaliste-zivy-plot-a-sjela-i-s-ditetem-do-bazenu-40534870
Zahraniční,Muž založil požár na letišti v Itálii. Rozbíjel přepážky kladivem,8914,AP,https://www.novinky.cz/clanek/zahranicni-muz-zalozil-pozar-na-letisti-v-italii-rozbijel-prepazky-kladivem-40535117
Hry a herní systémy,Za pět dní 800 tisíc prodaných kopií. Mafia: Domovina je hit,8859,archiv tvůrců,https://www.novinky.cz/clanek/internet-a-pc-hry-a-herni-systemy-za-pet-dni-800-tisic-prodanych-kopii-mafia-domovina-je-hit-40534940
Zahraniční,USA budují ambiciózní flotilu námořních dronů. Zatím je to velké fiasko,7938,Reuters,https://www.novinky.cz/clanek/zahranicni-jeden-trapas-za-druhym-usa-se-snazi-po-vzoru-ukrajiny-vybudovat-flotilu-namornich-dronu-40535191
Hlavní město Praha,Před ruskou ambasádou si srpen 1968 připomněly stovky lidí s ukrajinskými vlajkami,7674,"Marek Tereba, Novinky",https://www.novinky.cz/clanek/domaci-pred-ruskou-ambasadou-si-srpen-1968-pripomnely-stovky-lidi-s-ukrajinskymi-vlajkami-40535319
Film,Neobratný anděl Keanu Reeves hledá smysl své práce. Komedie Boží úlet se blíží do kin,7513,Bontonfilm,https://www.novinky.cz/clanek/kultura-filmy-serialy-neobratny-andel-keanu-reeves-hleda-smysl-sve-prace-komedie-bozi-ulet-se-blizi-do-kin-40534183
Krimi,Dálnici D5 zablokovala nehoda dvou kamionů,7442,"Pavel Jaňurek, Novinky",https://www.novinky.cz/clanek/krimi-dalnici-d5-zablokovala-nehoda-dvou-kamionu-40535135
2. světová válka,Japonsko kapitulovalo. Jeho poslední voják bojoval dalších 29 let,7223,Novinky,https://www.novinky.cz/clanek/historie-druha-svetova-valka-japonsko-kapitulovalo-jeho-posledni-vojak-bojoval-dalsich-29-let-40534241
Film,Dwayne Johnson je Mlátička. Sportovní drama vypráví skutečný příběh amerického zápasníka,6595,Vertical Entertainment,https://www.novinky.cz/clanek/kultura-filmy-serialy-dwayne-johnson-je-mlaticka-sportovni-drama-vypravi-skutecny-pribeh-americkeho-zapasnika-40534240
Válka na Ukrajině,Ruské síly udeřily na Charkov a Sumy. Mezi mrtvými je roční dítě,6336,X/Nexta,https://www.novinky.cz/clanek/valka-na-ukrajine-ruske-sily-uderily-na-charkov-a-sumy-40534623
Krimi,Nechal se zbytečně vyprovokovat a opilce pobodal. Dostal deset a půl roku,6138,Novinky,https://www.novinky.cz/clanek/krimi-nechal-se-zbytecne-vyprovokovat-a-opilce-pobodal-dostal-deset-a-pul-roku-40535075
Krimi,Při nehodě na Českobudějovicku zemřel mladý řidič,5952,"PF, Novinky",https://www.novinky.cz/clanek/krimi-pri-nehode-na-ceskobudejovicku-zemrel-mlady-ridic-40535575
Krimi,Řidič na Plzeňsku nedal v křižovatce přednost. Po srážce skončilo pět lidí v nemocnici,5859,"Patrik Biskup, Novinky",https://www.novinky.cz/clanek/krimi-ridic-na-plzensku-nedal-v-krizovatce-prednost-po-srazce-skoncilo-pet-lidi-v-nemocnici-40535560
Film,RECENZE: Velký vlastenecký výlet přináší sondu do hlubin dezolátovy duše,5672,Bontonfilm,https://www.novinky.cz/clanek/kultura-filmy-serialy-recenze-velky-vlastenecky-vylet-prinasi-sondu-do-hlubin-dezolatovy-duse-40535221
Zahraniční,Zbytečná smrt. Dvanáctiletý chlapec plnil výzvu na TikToku,4997,AP,https://www.novinky.cz/clanek/zahranicni-zbytecna-smrt-dvanactilety-chlapec-plnil-vyzvu-na-tiktoku-40405071
Koktejl,Letadlo s 62 cestujícími absolvovalo cestu z Floridy do Texasu s poškozeným křídlem,4694,Reuters,https://www.novinky.cz/clanek/koktejl-letadlo-s-62-cestujicimi-absolvovalo-cestu-z-floridy-do-texasu-s-poskozenym-kridlem-40535417
Parlamentní volby,Motoristé rozjeli agitku na Barum Rally. Turka šéf závodu vyškrtl,4495,"Aleš Fuksa, Novinky",https://www.novinky.cz/clanek/volby-do-poslanecke-snemovny-motoriste-rozjeli-agitku-na-barum-rally-turka-reditel-zavodu-vyskrtl-40534561
Počasí,Hurikán Erin se po řádění v Karibiku řítí na pobřeží USA a Kanady,4273,Reuters,https://www.novinky.cz/clanek/pocasi-hurikan-erin-se-po-radeni-v-karibiku-riti-na-pobrezi-usa-a-kanady-40534673
Krimi,Úřad nepotrestal řidiče formule z dálnice D4. Identifikaci znemožnila helma,3956,Policie ČR,https://www.novinky.cz/clanek/krimi-urad-nepotrestal-ridice-formule-z-dalnice-d4-identifikaci-znemoznila-helma-40318768
Hlavní město Praha,Stavba tramvajové linky v Malešicích potrvá další dva roky,3779,"Marek Tereba, Novinky",https://www.novinky.cz/clanek/domaci-zpravy-hlavni-mesto-praha-stavba-tramvajove-linky-v-malesicich-potrva-dalsi-dva-roky-40534653
Zlínský kraj,Modernizace železniční trati do Zlína začne do půl roku,3682,"Aleš Fuksa, Novinky",https://www.novinky.cz/clanek/domaci-zpravy-zlinsky-kraj-modernizace-zeleznicni-trati-do-zlina-zacne-do-pul-roku-40534514
Mobil,Extrémně tenký mobil od Samsungu zamířil do Česka. Na začátek je o 7500 Kč levnější,3667,"Miloslav Fišer, Novinky",https://www.novinky.cz/clanek/internet-a-pc-mobil-extremne-tenky-mobil-od-samsungu-zamiril-do-ceska-na-zacatek-je-o-7500-kc-levnejsi-40534373
Domácí,Los Emil si pod policejním dohledem užil procházku nočním Hodonínem,3595,Policie ČR,https://www.novinky.cz/clanek/domaci-los-emil-si-pod-policejnim-dohledem-uzil-prochazku-nocnim-hodoninem-40534530
Válka na Ukrajině,Rusko bezprostředně po jednání ve Washingtonu podniklo rozsáhlé útoky na Ukrajině,3456,Reuters,https://www.novinky.cz/clanek/valka-na-ukrajine-rusko-bezprostredne-po-jednani-ve-washingtonu-podniklo-rozsahle-utoky-na-ukrajine-40534850
Krimi,Na Plzeňsku hořel bytový dům. Dva hasiči se zranili,3252,"Patrik Biskup, Novinky",https://www.novinky.cz/clanek/krimi-na-plzensku-horel-bytovy-dum-dva-hasici-se-zranili-40535337
Zahraniční,Při zřícení atrakce z patnáctimetrové výšky se v Indii zranilo pět lidí,3072,AP,https://www.novinky.cz/clanek/zahranicni-pri-zriceni-atrakce-z-patnactimetrove-vysky-se-v-indii-zranilo-pet-lidi-40535231
Věda a školy,Kanibalismus v pravěku: Od boje o přežití k brutálnímu vyhlazení nepřítele,2584,"IPHES-CERCA / MARIA D. GUILLÉN/IPHES-CERCA, AP",https://www.novinky.cz/clanek/veda-skoly-kanibalismus-v-praveku-od-boje-o-preziti-k-brutalnimu-vyhlazeni-nepritele-40534190
Koktejl,Nová Grumpy Cat? Věčně zamračená kočka má možnou následovnici,2299,Caters News/@louisandmonae,https://www.novinky.cz/clanek/koktejl-nova-grumpy-cat-vecne-zamracena-kocka-ma-moznou-nasledovnici-40285155
Domácí,Služba vlasti i odloučení od rodiny. Skoro 500 vojáků získalo ocenění za nasazení na misích,2198,"Marek Tereba, Novinky",https://www.novinky.cz/clanek/domaci-sluzba-vlasti-i-odlouceni-od-rodiny-skoro-500-vojaku-ziskalo-oceneni-za-nasazeni-na-misich-40535420
Bydlení,Fanda do vlaků bydlí v opuštěném nádraží. Teď k němu přidal i luxusně zařízený historický vagon,2193,AP,https://www.novinky.cz/clanek/bydleni-fanda-do-vlaku-bydli-v-opustenem-nadrazi-ted-k-nemu-pridal-i-luxusne-zarizeny-historicky-vagon-40533898
Počasí,Stoupající hladina moří boří domy. Egyptská Alexandrie čelí nové hrozbě,2137,Reuters,https://www.novinky.cz/clanek/pocasi-stoupajici-hladina-mori-borti-domy-na-pobrezi-egyptska-alexandrie-celi-nove-hrozbe-40531633
Krimi,Zloději v Praze strhávají turistům sledujícím orloj zlaté šperky z krku,1953,Policie ČR,https://www.novinky.cz/clanek/krimi-novy-trend-zlodeji-strhavaji-turistum-sledujicim-prazsky-orloj-zlate-sperky-z-krku-40531484
TV a streaming,RECENZE: Seriál Mladá krev sází na neokoukané tváře a zkušenou režisérku,1759,TV Prima,https://www.novinky.cz/clanek/kultura-tv-streaming-recenze-serial-mlada-krev-sazi-na-neokoukane-tvare-a-zkusenou-reziserku-40535293
Film,RECENZE: Nikdo 2 – nájemný vrah workoholik řádí na dovolené,1622,CinemArt,https://www.novinky.cz/clanek/kultura-filmy-serialy-recenze-nikdo-2-najemny-vrah-workoholik-radi-na-dovolene-40535005
Krimi,Policie honila ujíždějící BMW po D1 z Prahy až na Vysočinu,1285,Policie ČR,https://www.novinky.cz/clanek/krimi-policie-honila-ujizdejici-bmw-po-d1-z-prahy-az-na-vysocinu-40495309
Počasí,Počet obětí záplav v Pákistánu stoupl téměř na 700. Kondoloval i prezident Pavel,1267,Reuters,https://www.novinky.cz/clanek/pocasi-pocet-obeti-zaplav-v-pakistanu-stoupl-temer-na-700-kondoloval-i-prezident-pavel-40534874
Domácí,Zdravotníci připravili letní kino pro nemocné. Sledovali film z polohovacích postelí i vozíků,1266,Lukáš Minařík,https://www.novinky.cz/clanek/domaci-zdravotnici-pripravili-letni-kino-pro-nemocne-sledovali-film-z-polohovacich-posteli-i-voziku-40535474
Film,Neznámý příběh judisty Lukáše Krpálka. V dokumentu Jemný rváč vystupuje i Ondřej Vetchý,1259,CinemArt,https://www.novinky.cz/clanek/kultura-filmy-serialy-neznamy-pribeh-judisty-lukase-krpalka-v-dokumentu-jemny-rvac-vystupuje-i-ondrej-vetchy-40534078
Řetězák,Internetem se šíří smutné pohledy údajných zadržených britských vojáků. Jde o dílo umělé inteligence,1110,Novinky,https://www.novinky.cz/clanek/podcasty-retezak-internetem-se-siri-smutne-pohledy-udajnych-zadrzenych-britskych-vojaku-jde-o-dilo-umele-inteligence-40533856
Hry a herní systémy,Gamescom 2025: 10 nejlepších trailerů z největšího herního veletrhu na světě,1110,AP,https://www.novinky.cz/clanek/internet-a-pc-hry-a-herni-systemy-gamescom-2025-10-nejlepsich-traileru-z-nejvetsiho-herniho-veletrhu-na-svete-40535532
Věda a školy,Vzácné záběry. Mezihvězdnou kometu 3IATLAS mají vědci dále „v hledáčku“,1107,Reuters,https://www.novinky.cz/clanek/veda-skoly-vzacne-zabery-mezihvezdnou-kometu-3i-atlas-maji-vedci-dale-v-hledacku-40534727
Hry a herní systémy,Gamescom 2025: Tankové bitvy v jedné rodině. World of Tanks chystá novinky,1070,archiv tvůrců,https://www.novinky.cz/clanek/internet-a-pc-hry-a-herni-systemy-gamescom-2025-tankove-bitvy-v-jedne-rodine-world-of-tanks-chysta-novinky-40535024
Krimi,Jeřáb nesundal rameno a narazil jím do mostu na dálnici D3,1068,"PF, Novinky",https://www.novinky.cz/clanek/krimi-do-mostu-na-dalnici-d3-narazil-jerab-se-zvednutym-ramenem-ridici-z-kabiny-pomahali-hasici-40534383
Krimi,Ukradené cenné sochy od Kodeta a Brože sešrotovali ve sběrně,1025,Policie ČR,https://www.novinky.cz/clanek/krimi-ukradene-cenne-sochy-od-kodeta-a-broze-sesrotovali-ve-sberne-40401024
