Jméno rubriky,Název článku/videa,Views,Extrahované info,Novinky URL
Krimi,Řemeslníci z Břeclavi nemohou z policie vypáčit při razii zajištěný vercajk za statisíce. Ženou to výš,54025,Novinky,https://www.novinky.cz/clanek/krimi-remeslnici-z-breclavi-nemohou-z-policie-vypacit-pri-razii-zajisteny-vercajk-za-statisice-zenou-to-vys-40534922
Parlamentní volby,Spolu představilo program: Reforma EU a přijetí eura „za výhodných podmínek“,51158,ČTK,https://www.novinky.cz/clanek/volby-do-poslanecke-snemovny-spolu-zverejnuje-program-reforma-eu-a-prijeti-eura-za-vyhodnych-podminek-40535084
Krimi,Žena v Plzni zakopla a přejela ji tramvaj,48750,"Patrik Biskup, Novinky",https://www.novinky.cz/clanek/krimi-zena-v-plzni-zakopla-a-prejela-ji-tramvaj-40535481
Blízký a Střední východ,Húsíové si troufli ostřelovat Tel Aviv kazetovou municí. Izrael si to líbit nenechal,47432,Reuters,https://www.novinky.cz/clanek/zahranicni-blizky-a-stredni-vychod-husiove-si-troufli-ostrelovat-tel-aviv-kazetovou-munici-izrael-si-to-libit-nenechal-40535565
Cestování,Čech dvakrát vyrazil na jednu z nejizolovanějších tras světa. Potíže na sebe nenechaly dlouho čekat,45224,Novinky,https://www.novinky.cz/clanek/cestovani-cech-dvakrat-vyrazil-na-jednu-z-nejizolovanejsich-tras-sveta-potize-na-sebe-nenechaly-dlouho-cekat-40533076
Krimi,Sebevrah v centru Plzně skočil z mostu do řeky. Na místě zemřel,41199,"Patrik Biskup, Novinky",https://www.novinky.cz/clanek/krimi-sebevrah-v-centru-plzne-skocil-z-mostu-do-reky-na-miste-zemrel-40535302
Počasí,Čekají nás příjemné letní dny,40363,Sitour / Novinky.cz,https://www.novinky.cz/clanek/pocasi-cekaji-nas-prijemne-letni-dny-40534604
Plzeňský kraj,Dvě buchty vs. bagry. Kavárna na rozkopaném plzeňském náměstíčku bojuje o přežití,40322,"Ivan Blažek, Novinky",https://www.novinky.cz/clanek/domaci-zpravy-plzensky-kraj-dve-buchty-vs-bagry-kavarna-na-rozkopanem-plzenskem-namesticku-bojuje-o-preziti-40534892
Počasí,Ráno mrzlo a padaly rekordy,38925,Sitour / Novinky.cz,https://www.novinky.cz/clanek/pocasi-rano-mrzlo-a-padaly-rekordy-40535524
Počasí,Česko čeká chladný víkend,38620,Sitour / Novinky.cz,https://www.novinky.cz/clanek/pocasi-cesko-ceka-chladny-vikend-40535103
